idComercializacion,CodigoCotizacion,ClienteId,Cliente,LiderComercial,FechaInicio,ValorVenta,ValorCotizacion,NumeroEstados,EsSENCE
11279,CAL195573,1034,Algoritmos Spa,kriquelme@insecap.cl,17/04/2023,350000,0,2,0
11281,ANT195574,507,CSI,chervera@insecap.cl,04/04/2023,541000,0,2,0
11321,ANT195579-1,223,JOY GLOBAL,chervera@insecap.cl,03/04/2023,639000,639000,2,0
11319,ANT195580,223,JOY GLOBAL,chervera@insecap.cl,06/04/2023,709000,0,2,0
11323,CAL195581-2,1030,REMSA SPA,kriquelme@insecap.cl,03/04/2023,360000,360000,2,0
11325,CAL195582-2,1030,REMSA SPA,kriquelme@insecap.cl,03/04/2023,355000,355000,2,0
11322,CAL195583-3,1030,REMSA SPA,kriquelme@insecap.cl,03/04/2023,110000,110000,2,0
11320,CAL195586-1,521,KDM INDUSTRIAL S.A.,kriquelme@insecap.cl,03/04/2023,1184050,1184050,2,0
11311,ANT195600,753,FAM AMERICA LATINA MAQUINARIAS LIMITADA,chervera@insecap.cl,01/04/2023,36000,0,2,0
11312,ANT195601,753,FAM AMERICA LATINA MAQUINARIAS LIMITADA,chervera@insecap.cl,01/04/2023,36000,0,2,0
11313,ANT195602,753,FAM AMERICA LATINA MAQUINARIAS LIMITADA,chervera@insecap.cl,01/04/2023,36000,0,2,0
11314,ANT195603,753,FAM AMERICA LATINA MAQUINARIAS LIMITADA,chervera@insecap.cl,01/04/2023,36000,0,2,0
11317,ANT195604-1,412,THIESS CHILE SPA,sbarraza@insecap.cl,10/04/2023,180000,180000,4,0
11316,ANT195605,412,THIESS CHILE SPA,sbarraza@insecap.cl,10/04/2023,180000,180000,4,0
11339,ANT195606-1,683,Minera Lomas Bayas,chervera@insecap.cl,03/04/2023,440000,440000,2,0
11359,ANT195607-1,683,Minera Lomas Bayas,chervera@insecap.cl,04/04/2023,440000,440000,2,0
11331,CAL195610,198,ICL,sriquelme@insecap.cl,04/04/2023,600000,0,5,1
11360,ANT195611,259,MPM,chervera@insecap.cl,06/04/2023,397000,400000,2,0
11504,ADI195612,215,INVERSIONES KALLPA SPA,sriquelme@insecap.cl,10/04/2023,1200000,1500000,2,0
11412,ANT195613,421,CONSTRUCTORA BAICAL,sbarraza@insecap.cl,30/05/2023,676296,676296,2,0
11341,ANT195614,405,FCAB,sriquelme@insecap.cl,05/04/2023,392000,0,2,0
11427,ANT195615-1,287,RENTALMIN,chervera@insecap.cl,06/04/2023,70000,70000,2,0
11342,ANT195618,405,FCAB,sriquelme@insecap.cl,06/04/2023,392000,392000,2,0
11343,ANT195619,405,FCAB,sriquelme@insecap.cl,21/04/2023,450000,450000,2,0
11415,ANT195620,405,FCAB,sriquelme@insecap.cl,27/04/2023,820000,820000,2,0
11324,CAL195621-1,1030,REMSA SPA,kriquelme@insecap.cl,03/04/2023,110000,110000,2,0
11329,CAL195629,856,CONSORCIO VOB,sriquelme@insecap.cl,03/04/2023,460000,460000,2,0
11493,ANT195631-5,1040,CIMAPRIME SPA,sriquelme@insecap.cl,12/04/2023,1512647,1512647,2,0
11328,CAL195633-2,805,TERMINAL PUERTO ARICA S.A.,sbarraza@insecap.cl,10/04/2023,1451188,1451186,3,1
11332,CAL195634,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,03/04/2023,640000,0,2,0
11334,CAL195635,1004,SAAVEDRA Y ABALO MYS SPA,kriquelme@insecap.cl,03/04/2023,80000,0,2,0
11335,CAL195636-2,316,SK INDUSTRIAL,sbarraza@insecap.cl,04/04/2023,640934,640934,2,0
11338,CAL195637,137,CUMMINS,kriquelme@insecap.cl,04/04/2023,575000,0,3,1
11344,ANT195638-1,421,CONSTRUCTORA BAICAL,sbarraza@insecap.cl,05/04/2023,238600,238600,4,0
11340,ANT195639-1,310,SIEMENS,chervera@insecap.cl,03/04/2023,645000,69000,4,0
11347,CAL195640,856,CONSORCIO VOB,sriquelme@insecap.cl,03/04/2023,261800,261800,2,0
11348,CAL195641,856,CONSORCIO VOB,sriquelme@insecap.cl,04/04/2023,392700,392700,2,0
11345,ANT195642-1,421,CONSTRUCTORA BAICAL,sbarraza@insecap.cl,03/04/2023,40000,40000,2,0
11776,ANT195643-3,1017,EBCO S.A,sbarraza@insecap.cl,04/05/2023,1633039,1633039,2,0
11673,CAL195645-1,223,JOY GLOBAL,kriquelme@insecap.cl,24/04/2023,55000,55000,2,0
11574,CAL195657-2,246,METSO,kriquelme@insecap.cl,23/05/2023,390000,415600,3,1
11351,CAL195659-2,137,CUMMINS,kriquelme@insecap.cl,06/04/2023,720000,720000,2,0
11357,CAL195660,1032,SEGURISUR MEDICAL,sriquelme@insecap.cl,03/04/2023,40000,0,2,0
11362,CAL195661-1,246,METSO,kriquelme@insecap.cl,03/04/2023,70000,70000,2,0
11353,CAL195662,246,METSO,kriquelme@insecap.cl,03/04/2023,70000,0,2,0
11352,CAL195664,316,SK INDUSTRIAL,sbarraza@insecap.cl,05/04/2023,640934,640934,2,0
11355,CAL195665,316,SK INDUSTRIAL,sbarraza@insecap.cl,11/04/2023,640934,640934,2,0
11356,CAL195666,316,SK INDUSTRIAL,sbarraza@insecap.cl,12/04/2023,640934,640934,2,0
11617,CAL195667-2,494,VECCHIOLA,kriquelme@insecap.cl,20/04/2023,304000,304000,2,0
11607,CAL195668-5,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,24/04/2023,729090,729090,2,0
11615,CAL195669-4,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,26/04/2023,729090,729090,2,0
11376,ANT195670,757,CONSTRUCTORA PEHUENCHE LTDA,chervera@insecap.cl,04/04/2023,50000,0,2,0
11366,CAL195671,970,ICEM S.A,sriquelme@insecap.cl,05/04/2023,348000,348000,2,0
11554,CAL195672-1,565,Emin,sriquelme@insecap.cl,17/04/2023,945000,945000,2,0
11555,CAL195673-1,565,Emin,sriquelme@insecap.cl,17/04/2023,945000,945000,2,0
11378,CAL195675-1,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,12/04/2023,431200,350000,3,1
11707,CAL195676-3,273,PARTICULAR,sbarraza@insecap.cl,21/04/2023,95000,95000,2,0
11365,CAL195677,995,GEO-3 EIRL,sriquelme@insecap.cl,04/04/2023,50000,50000,2,0
11370,CAL195678,856,CONSORCIO VOB,sriquelme@insecap.cl,05/04/2023,341000,341000,2,0
11371,CAL195679,856,CONSORCIO VOB,sriquelme@insecap.cl,05/04/2023,350000,350000,2,0
11372,CAL195680,856,CONSORCIO VOB,sriquelme@insecap.cl,05/04/2023,341000,341000,2,0
11373,CAL195681,856,CONSORCIO VOB,sriquelme@insecap.cl,05/04/2023,344000,344000,2,0
11374,CAL195682-1,856,CONSORCIO VOB,sriquelme@insecap.cl,06/04/2023,341000,341000,2,0
11383,ANT195684-1,933,DESIGN,chervera@insecap.cl,06/04/2023,560203,609786,3,1
11367,CAL195685,1030,REMSA SPA,kriquelme@insecap.cl,04/04/2023,110000,0,2,0
11375,ANT195686-7,744,SODEXO CHILE SPA,sbarraza@insecap.cl,22/05/2023,1680000,1680000,3,1
11426,ANT195692,287,RENTALMIN,chervera@insecap.cl,04/04/2023,70000,70000,2,0
11410,ANT195694-1,1037,PRM,chervera@insecap.cl,11/04/2023,448000,448000,3,1
11379,CAL195698,594,BERLIAM SPA,sbarraza@insecap.cl,06/04/2023,416004,448000,2,0
11380,CAL195699,594,BERLIAM SPA,sbarraza@insecap.cl,05/04/2023,20000,20000,2,0
11384,ANT195700,571,Esav Chile,chervera@insecap.cl,05/04/2023,526500,0,2,0
11382,ANT195701,571,Esav Chile,chervera@insecap.cl,05/04/2023,521500,0,2,0
11381,ANT195702,683,Minera Lomas Bayas,chervera@insecap.cl,05/04/2023,440000,0,2,0
11388,ANT195703,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,04/04/2023,20000,20000,2,0
11387,ANT195704-1,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,04/04/2023,20000,20000,2,0
11386,ANT195705-1,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,04/04/2023,20000,20000,2,0
11389,ANT195706,905,BEE 3D TECHNOLOGY SPA,chervera@insecap.cl,05/04/2023,178000,0,2,0
11411,ANT195707-1,1037,PRM,chervera@insecap.cl,13/04/2023,442000,442000,3,1
11390,ANT195708,683,Minera Lomas Bayas,chervera@insecap.cl,06/04/2023,440000,0,2,0
11392,CAL195709,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,10/04/2023,515200,0,2,0
11393,CAL195710-2,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,05/05/2023,480000,480000,2,0
11416,CAL195711-1,991,LABORCE,sriquelme@insecap.cl,06/04/2023,438000,438000,2,0
11391,CAL195712,246,METSO,kriquelme@insecap.cl,05/04/2023,25000,0,2,0
11395,CAL195713-1,856,CONSORCIO VOB,sriquelme@insecap.cl,06/04/2023,444000,444000,2,0
11396,CAL195714,856,CONSORCIO VOB,sriquelme@insecap.cl,06/04/2023,444000,444000,2,0
11397,ANT195716-3,310,SIEMENS,chervera@insecap.cl,01/04/2023,405000,405000,2,0
11572,CAL195725-1,934,EPIROC CHILE,kriquelme@insecap.cl,19/04/2023,720000,720000,2,0
11407,ANT195728-1,834,TTM CHILE S.A.,sbarraza@insecap.cl,05/04/2023,150000,150000,2,0
11419,CAL195729-1,137,CUMMINS,kriquelme@insecap.cl,13/04/2023,1200000,960000,3,1
11399,CAL195730,200,ICV,kriquelme@insecap.cl,05/04/2023,60000,0,2,0
11400,CAL195731,200,ICV,kriquelme@insecap.cl,05/04/2023,30000,0,2,0
11408,CAL195732-4,914,SOC. CONTRACTUAL MINERA EL ABRA,sbarraza@insecap.cl,17/04/2023,1083750,1083750,2,0
11409,CAL195733,200,ICV,kriquelme@insecap.cl,05/04/2023,90000,0,2,0
11517,CAL195735-4,514,MARTINIC,sriquelme@insecap.cl,13/04/2023,624000,624000,2,0
12332,CAL195738-5,992,Escuela de Conductores San Andrés,kriquelme@insecap.cl,06/06/2023,935600,935600,2,0
11628,CAL195740,683,Minera Lomas Bayas,chervera@insecap.cl,18/05/2023,678000,678000,2,0
11639,CAL195741,683,Minera Lomas Bayas,chervera@insecap.cl,24/04/2023,678000,0,2,0
11642,CAL195743,683,Minera Lomas Bayas,chervera@insecap.cl,16/06/2023,678000,0,2,0
11643,CAL195745-1,683,Minera Lomas Bayas,chervera@insecap.cl,17/05/2023,1328000,1428000,2,0
11417,CAL195746,246,METSO,kriquelme@insecap.cl,06/04/2023,300000,0,2,0
11418,CAL195747,246,METSO,kriquelme@insecap.cl,06/04/2023,300000,0,2,0
11439,ANT195748,405,FCAB,sriquelme@insecap.cl,12/04/2023,425000,425000,2,0
11438,ANT195749,405,FCAB,sriquelme@insecap.cl,26/04/2023,425000,0,2,0
11448,ANT195750,405,FCAB,sriquelme@insecap.cl,11/04/2023,375000,375000,2,0
11437,ANT195751,405,FCAB,sriquelme@insecap.cl,28/04/2023,366000,366000,2,0
11506,ANT195755,548,Metso Industrial Services SpA,kriquelme@insecap.cl,12/04/2023,245000,0,2,0
11444,ANT195758,287,RENTALMIN,chervera@insecap.cl,05/04/2023,129000,129000,2,0
11443,ANT195759,287,RENTALMIN,chervera@insecap.cl,05/04/2023,129000,0,2,0
11800,ANT195760-2,887,EXPORT METALS LIMITADA,sbarraza@insecap.cl,02/05/2023,455600,455600,2,0
11567,CAL195761-1,296,SALFA MANTENCIONES,sriquelme@insecap.cl,25/04/2023,420000,420000,2,0
11428,ANT195763,227,KONECRANES,sbarraza@insecap.cl,06/04/2023,130000,120000,2,0
11432,ANT195764-1,227,KONECRANES,sbarraza@insecap.cl,06/04/2023,112000,112000,2,0
11433,ANT195765-1,227,KONECRANES,sbarraza@insecap.cl,06/04/2023,174200,174200,2,0
11434,ANT195766,227,KONECRANES,sbarraza@insecap.cl,06/04/2023,104000,104000,2,0
11435,ANT195768,227,KONECRANES,sbarraza@insecap.cl,06/04/2023,180000,180000,2,0
11429,CAL195769,246,METSO,kriquelme@insecap.cl,06/04/2023,70000,0,2,0
11430,CAL195770,246,METSO,kriquelme@insecap.cl,06/04/2023,70000,0,2,0
11431,CAL195771,246,METSO,kriquelme@insecap.cl,06/04/2023,90000,0,2,0
11450,ANT195772,565,Emin,sriquelme@insecap.cl,06/04/2023,160000,160000,2,0
11440,CAL195774-2,548,Metso Industrial Services SpA,kriquelme@insecap.cl,10/04/2023,960000,960000,6,0
11511,ANT195775-1,223,JOY GLOBAL,kriquelme@insecap.cl,03/05/2023,1600000,1600000,4,0
11466,CAL195776,548,Metso Industrial Services SpA,kriquelme@insecap.cl,11/04/2023,840000,0,2,0
11445,CAL195778,246,METSO,kriquelme@insecap.cl,06/04/2023,100000,0,2,0
11446,CAL195779-1,246,METSO,kriquelme@insecap.cl,06/04/2023,125000,225000,2,0
11447,CAL195780,246,METSO,kriquelme@insecap.cl,06/04/2023,125000,0,2,0
11468,CAL195782,856,CONSORCIO VOB,sriquelme@insecap.cl,10/04/2023,380800,380800,2,0
11449,CAL195783,246,METSO,kriquelme@insecap.cl,06/04/2023,175000,0,2,0
11471,ANT195785-3,507,CSI,chervera@insecap.cl,12/04/2023,519000,519000,3,1
11451,CAL195786,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,10/04/2023,100000,0,2,0
11452,CAL195787,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,10/04/2023,100000,0,2,0
11453,CAL195788,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,10/04/2023,100000,0,2,0
11454,CAL195789,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,10/04/2023,100000,0,2,0
11455,CAL195790,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,11/04/2023,100000,0,2,0
11502,CAL195791-2,1041,Geoassay,sriquelme@insecap.cl,12/04/2023,624000,624000,2,0
11456,ANT195792,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,06/04/2023,20000,20000,2,0
11470,CAL195793,494,VECCHIOLA,kriquelme@insecap.cl,10/04/2023,240000,0,2,0
11457,ANT195794,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,06/04/2023,20000,20000,2,0
11458,ANT195796-1,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,06/04/2023,20000,20000,2,0
11459,CAL195797,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,300000,0,2,0
11460,CAL195798,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,180000,0,2,0
11461,CAL195799,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,420000,0,2,0
11462,CAL195800,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,480000,0,2,0
11463,CAL195801,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,450000,0,2,0
11464,CAL195802,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,480000,0,2,0
11465,CAL195803,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,06/04/2023,270000,0,2,0
11467,CAL195807-1,835,CONSTRUCTORA GMT LTDA,kriquelme@insecap.cl,10/04/2023,270000,270000,2,0
11478,ANT195809-2,696,TRAIN LTDA. ,sriquelme@insecap.cl,17/04/2023,366000,366000,2,0
11469,CAL195811,834,TTM CHILE S.A.,sbarraza@insecap.cl,10/04/2023,110000,110000,2,0
11474,CAL195812-1,856,CONSORCIO VOB,sriquelme@insecap.cl,10/04/2023,121324,121324,2,0
11472,CAL195813,246,METSO,kriquelme@insecap.cl,10/04/2023,25000,0,2,0
11473,CAL195814,246,METSO,kriquelme@insecap.cl,10/04/2023,25000,0,2,0
11476,CAL195815,246,METSO,kriquelme@insecap.cl,10/04/2023,25000,0,2,0
11475,CAL195816-1,246,METSO,kriquelme@insecap.cl,10/04/2023,25000,25000,2,0
11481,CAL195817,223,JOY GLOBAL,kriquelme@insecap.cl,13/04/2023,160000,0,2,0
11477,CAL195819,856,CONSORCIO VOB,sriquelme@insecap.cl,10/04/2023,120000,0,2,0
11519,CAL195820,514,MARTINIC,sriquelme@insecap.cl,13/04/2023,285000,285000,2,0
11479,CAL195822,246,METSO,kriquelme@insecap.cl,10/04/2023,70000,0,2,0
11480,CAL195823,246,METSO,kriquelme@insecap.cl,10/04/2023,180000,0,2,0
11482,ANT195824,259,MPM,chervera@insecap.cl,11/04/2023,323000,323000,2,0
11485,CAL195828-1,273,PARTICULAR,kriquelme@insecap.cl,14/04/2023,100000,100000,2,0
11484,ANT195829-1,705,KOMATSU CUMMINS CHILE LTDA.,chervera@insecap.cl,21/04/2023,447000,447000,3,1
11489,CAL195832-4,1028,SANDVIK CHLE ,sbarraza@insecap.cl,13/04/2023,812000,812000,2,0
11512,ANT195833,223,JOY GLOBAL,kriquelme@insecap.cl,10/05/2023,1599990,0,2,0
11513,ANT195834,223,JOY GLOBAL,kriquelme@insecap.cl,17/05/2023,1520000,0,2,0
11514,ANT195835,223,JOY GLOBAL,kriquelme@insecap.cl,24/05/2023,1680000,0,2,0
11503,CAL195842-3,265,New Tech Copper S.P.A.,kriquelme@insecap.cl,08/05/2023,2290750,2290750,2,0
12373,CAL195843,131,CONTITECH CHILE S.A,kriquelme@insecap.cl,07/06/2023,1050000,0,2,0
11488,CAL195846,856,CONSORCIO VOB,sriquelme@insecap.cl,11/04/2023,273700,273700,2,0
11494,CAL195847-1,1039,ARAYA BRIONES LIMITADA,chervera@insecap.cl,12/04/2023,314200,314200,2,0
11491,CAL195851,856,CONSORCIO VOB,sriquelme@insecap.cl,11/04/2023,345000,345000,2,0
11492,ANT195856,273,PARTICULAR,sbarraza@insecap.cl,18/04/2023,120000,120000,2,0
11495,ANT195860,571,Esav Chile,chervera@insecap.cl,11/04/2023,240000,240000,2,0
11496,CAL195861-2,914,SOC. CONTRACTUAL MINERA EL ABRA,sbarraza@insecap.cl,24/04/2023,1083750,1083750,2,0
11499,ANT195862,259,MPM,chervera@insecap.cl,13/04/2023,363000,0,2,0
11498,CAL195865-1,226,KOMATSU CHILE S.A,kriquelme@insecap.cl,12/04/2023,300000,300000,2,0
11739,ANT195870,491,EXPERTICIA INGENIEROS S.A.,chervera@insecap.cl,25/04/2023,152000,152000,4,0
11740,ANT195871,491,EXPERTICIA INGENIEROS S.A.,chervera@insecap.cl,25/04/2023,152000,0,4,0
11500,CAL195872,594,BERLIAM SPA,sbarraza@insecap.cl,13/04/2023,329000,329000,2,0
11977,ANT195873,1050,Algorta Norte S.A.,sriquelme@insecap.cl,10/05/2023,798000,812000,3,1
11693,CAL195874-1,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,24/04/2023,80000,80000,2,0
11694,CAL195875-2,333,STEEL INGENIERIA S.A.,sbarraza@insecap.cl,02/05/2023,100000,100000,2,0
12002,ANT195876-2,1050,Algorta Norte S.A.,sriquelme@insecap.cl,17/05/2023,812000,812000,3,1
11531,ANT195878-1,223,JOY GLOBAL,chervera@insecap.cl,18/04/2023,454551,500000,3,1
11560,CAL195880-1,1042,Empresa Seguridad Integral Arcangeli Spa.,sbarraza@insecap.cl,17/04/2023,120000,120000,2,0
11505,CAL195882-2,594,BERLIAM SPA,sbarraza@insecap.cl,12/04/2023,302500,302500,2,0
11507,ANT195884-1,223,JOY GLOBAL,chervera@insecap.cl,14/04/2023,517000,517000,2,0
11509,CAL195885-1,683,Minera Lomas Bayas,chervera@insecap.cl,20/04/2023,1078000,1078000,2,0
11527,CAL195886,856,CONSORCIO VOB,sriquelme@insecap.cl,13/04/2023,452200,452200,2,0
11521,CAL195887-4,764,INGENIERIA Y CONTRUCCION FRANCIS DANIEL OJEDA ROJAS E.I.R.L,kriquelme@insecap.cl,14/04/2023,953000,953000,2,0
11508,CAL195888,548,Metso Industrial Services SpA,kriquelme@insecap.cl,12/04/2023,70000,0,2,0
11510,CAL195889,490,VYS,kriquelme@insecap.cl,12/04/2023,60000,0,2,0
