idComercializacion,EstadoComercializacion,Fecha
11665,1,23/08/2023
11441,0,06/04/2023
11441,1,10/04/2023
11569,0,17/04/2023
11569,1,19/04/2023
11442,0,06/04/2023
11442,1,10/04/2023
11486,0,10/04/2023
11486,1,25/05/2023
11346,0,03/04/2023
11346,1,27/04/2023
11292,0,30/03/2023
11292,1,19/04/2023
11315,0,31/03/2023
11315,1,05/04/2023
11296,0,30/03/2023
11296,1,05/04/2023
11330,0,31/03/2023
11330,1,31/05/2023
11330,3,11/05/2023
11501,0,11/04/2023
11501,2,28/06/2023
11337,0,03/04/2023
11337,1,15/05/2023
12094,0,16/05/2023
12094,1,22/05/2023
11278,0,30/03/2023
11278,1,18/04/2023
11279,0,30/03/2023
11279,1,18/04/2023
11281,0,30/03/2023
11281,1,13/04/2023
11321,0,31/03/2023
11321,1,24/05/2023
11319,0,31/03/2023
11319,1,24/05/2023
11323,0,31/03/2023
11323,1,06/04/2023
11325,0,31/03/2023
11325,1,06/04/2023
11322,0,31/03/2023
11322,1,06/04/2023
11320,0,31/03/2023
11320,1,05/04/2023
11311,0,30/03/2023
11311,1,04/04/2023
11312,0,30/03/2023
11312,1,04/04/2023
11313,0,30/03/2023
11313,1,04/04/2023
11314,0,30/03/2023
11314,1,04/04/2023
11317,0,31/03/2023
11317,0,24/04/2023
11317,1,21/04/2023
11317,1,24/04/2023
11316,0,31/03/2023
11316,0,24/04/2023
11316,1,21/04/2023
11316,1,24/04/2023
11339,0,03/04/2023
11339,1,10/04/2023
11359,0,03/04/2023
11359,1,17/04/2023
11331,0,31/03/2023
11331,0,12/04/2023
11331,1,26/05/2023
11331,3,12/04/2023
11331,3,12/04/2023
11360,0,03/04/2023
11360,1,12/04/2023
11504,0,11/04/2023
11504,1,15/05/2023
11412,0,05/04/2023
11412,2,30/11/2023
11341,0,03/04/2023
11341,1,06/04/2023
11427,0,06/04/2023
11427,1,06/04/2023
11342,0,03/04/2023
11342,1,10/04/2023
11343,0,03/04/2023
11343,1,02/06/2023
11415,0,05/04/2023
11415,1,02/06/2023
11324,0,31/03/2023
11324,1,06/04/2023
11329,0,31/03/2023
11329,1,30/05/2023
11493,0,11/04/2023
11493,1,02/05/2023
11328,0,31/03/2023
11328,1,31/05/2023
11328,3,11/05/2023
11332,0,31/03/2023
11332,1,04/07/2023
11334,0,03/04/2023
11334,1,14/04/2023
11335,0,03/04/2023
11335,1,20/04/2023
11338,0,03/04/2023
11338,1,10/05/2023
11338,3,26/04/2023
11344,0,03/04/2023
11344,0,13/04/2023
11344,1,12/04/2023
11344,1,14/04/2023
11340,0,03/04/2023
11340,0,04/04/2023
11340,1,03/04/2023
11340,1,04/04/2023
11347,0,03/04/2023
11347,1,29/05/2023
11348,0,03/04/2023
11348,1,29/05/2023
11345,0,03/04/2023
11345,1,11/05/2023
11776,0,26/04/2023
11776,1,24/07/2023
11673,0,20/04/2023
11673,1,18/05/2023
11574,0,17/04/2023
11574,1,05/07/2023
11574,3,09/06/2023
11351,0,03/04/2023
11351,1,02/05/2023
11357,0,03/04/2023
11357,1,05/04/2023
11362,0,04/04/2023
11362,1,12/06/2023
11353,0,03/04/2023
11353,1,12/06/2023
11352,0,03/04/2023
11352,1,20/04/2023
11355,0,03/04/2023
11355,1,11/07/2023
11356,0,03/04/2023
11356,1,11/07/2023
11617,0,18/04/2023
11617,1,18/05/2023
11607,0,18/04/2023
11607,1,02/10/2023
11615,0,18/04/2023
11615,1,02/10/2023
11376,0,04/04/2023
11376,1,09/05/2023
11366,0,04/04/2023
11366,1,11/04/2023
11554,0,14/04/2023
11554,1,09/11/2023
11555,0,14/04/2023
11555,1,13/07/2023
11378,0,04/04/2023
11378,1,10/05/2023
11378,3,26/04/2023
11707,0,21/04/2023
11707,2,27/04/2023
11365,0,04/04/2023
11365,1,06/09/2023
11370,0,04/04/2023
11370,1,30/05/2023
11371,0,04/04/2023
11371,1,30/05/2023
11372,0,04/04/2023
11372,1,30/05/2023
11373,0,04/04/2023
11373,1,30/05/2023
11374,0,04/04/2023
11374,1,30/05/2023
11383,0,04/04/2023
11383,1,29/06/2023
11383,3,02/05/2023
11367,0,04/04/2023
11367,1,06/04/2023
11375,0,04/04/2023
11375,1,05/01/2024
11375,3,19/07/2023
11426,0,06/04/2023
11426,1,10/04/2023
11410,0,05/04/2023
11410,1,08/08/2023
11410,3,08/05/2023
11379,0,04/04/2023
11379,1,13/04/2023
11380,0,04/04/2023
11380,1,11/04/2023
11384,0,04/04/2023
11384,1,10/04/2023
11382,0,04/04/2023
11382,1,10/04/2023
11381,0,04/04/2023
11381,1,17/04/2023
11388,0,04/04/2023
11388,1,21/04/2023
11387,0,04/04/2023
11387,1,21/04/2023
11386,0,04/04/2023
11386,1,21/04/2023
11389,0,04/04/2023
11389,1,10/04/2023
11411,0,05/04/2023
11411,1,08/08/2023
11411,3,11/05/2023
11390,0,04/04/2023
11390,1,17/04/2023
11392,0,05/04/2023
11392,1,25/05/2023
11393,0,05/04/2023
11393,1,04/07/2023
11416,0,05/04/2023
11416,1,29/05/2023
11391,0,05/04/2023
11391,2,19/04/2023
11395,0,05/04/2023
11395,1,30/05/2023
11396,0,05/04/2023
11396,1,30/05/2023
11397,0,05/04/2023
11397,1,26/12/2023
11572,0,17/04/2023
11572,1,25/05/2023
11407,0,05/04/2023
11407,1,28/09/2023
11419,0,05/04/2023
11419,1,10/05/2023
11419,3,26/04/2023
11399,0,05/04/2023
11399,1,02/05/2023
11400,0,05/04/2023
11400,1,02/05/2023
11408,0,05/04/2023
11408,1,07/07/2023
11409,0,05/04/2023
11409,1,04/05/2023
11517,0,12/04/2023
11517,1,14/04/2023
12332,0,01/06/2023
12332,1,14/06/2023
11628,0,19/04/2023
11628,1,29/06/2023
11639,0,19/04/2023
11639,1,02/05/2023
11642,0,19/04/2023
11642,1,29/06/2023
11643,0,19/04/2023
11643,1,29/06/2023
11417,0,05/04/2023
11417,1,12/04/2023
11418,0,05/04/2023
11418,1,12/04/2023
11439,0,06/04/2023
11439,1,13/04/2023
11438,0,06/04/2023
11438,1,02/06/2023
11448,0,06/04/2023
11448,1,12/04/2023
11437,0,06/04/2023
11437,1,02/06/2023
11506,0,12/04/2023
11506,1,30/05/2023
11444,0,06/04/2023
11444,1,10/04/2023
11443,0,06/04/2023
11443,1,10/04/2023
11800,0,27/04/2023
11800,1,10/05/2023
11567,0,17/04/2023
11567,1,29/06/2023
11428,0,06/04/2023
11428,1,10/05/2023
11432,0,06/04/2023
11432,1,10/05/2023
11433,0,06/04/2023
11433,1,10/05/2023
11434,0,06/04/2023
11434,1,10/05/2023
11435,0,06/04/2023
11435,1,10/05/2023
11429,0,06/04/2023
11429,1,14/04/2023
11430,0,06/04/2023
11430,1,14/04/2023
11431,0,06/04/2023
11431,1,14/04/2023
11450,0,06/04/2023
11450,1,25/04/2023
11440,0,06/04/2023
11440,0,17/05/2023
11440,0,30/05/2023
11440,1,17/05/2023
11440,1,30/05/2023
11440,1,27/06/2023
11511,0,12/04/2023
11511,0,18/05/2023
11511,1,18/05/2023
11511,1,18/05/2023
11466,0,10/04/2023
11466,1,17/05/2023
11445,0,06/04/2023
11445,1,19/04/2023
11446,0,06/04/2023
11446,1,19/04/2023
11447,0,06/04/2023
11447,1,19/04/2023
11468,0,10/04/2023
11468,1,29/05/2023
11449,0,06/04/2023
11449,1,05/05/2023
11471,0,10/04/2023
11471,1,10/10/2023
11471,3,28/04/2023
11451,0,06/04/2023
11451,1,10/05/2023
11452,0,06/04/2023
11452,1,10/05/2023
11453,0,06/04/2023
11453,1,10/05/2023
11454,0,06/04/2023
11454,1,10/05/2023
11455,0,06/04/2023
11455,1,18/08/2023
11502,0,11/04/2023
11502,1,27/04/2023
11456,0,06/04/2023
11456,1,21/04/2023
11470,0,10/04/2023
11470,1,21/04/2023
11457,0,06/04/2023
11457,1,21/04/2023
11458,0,06/04/2023
11458,1,21/04/2023
11459,0,06/04/2023
11459,1,18/04/2023
11460,0,06/04/2023
11460,1,18/04/2023
11461,0,06/04/2023
11461,1,18/04/2023
11462,0,06/04/2023
11462,1,18/04/2023
11463,0,06/04/2023
11463,1,18/04/2023
11464,0,06/04/2023
11464,1,18/04/2023
11465,0,06/04/2023
11465,1,18/04/2023
11467,0,10/04/2023
11467,1,18/04/2023
11478,0,10/04/2023
11478,1,18/04/2023
11469,0,10/04/2023
11469,1,18/04/2023
11474,0,10/04/2023
11474,1,30/05/2023
11472,0,10/04/2023
11472,1,02/05/2023
11473,0,10/04/2023
11473,1,02/05/2023
11476,0,10/04/2023
11476,1,02/05/2023
11475,0,10/04/2023
11475,1,02/05/2023
11481,0,10/04/2023
11481,1,18/05/2023
11477,0,10/04/2023
11477,1,30/05/2023
11519,0,12/04/2023
11519,1,14/04/2023
11479,0,10/04/2023
11479,1,14/04/2023
11480,0,10/04/2023
11480,1,14/04/2023
11482,0,10/04/2023
11482,1,12/04/2023
11485,0,10/04/2023
11485,1,28/04/2023
11484,0,10/04/2023
11484,1,19/06/2023
11484,3,10/05/2023
11489,0,11/04/2023
11489,1,03/07/2023
11512,0,12/04/2023
11512,1,31/05/2023
11513,0,12/04/2023
11513,1,31/05/2023
11514,0,12/04/2023
11514,1,08/06/2023
11503,0,11/04/2023
11503,1,22/05/2023
12373,0,05/06/2023
12373,1,13/06/2023
11488,0,11/04/2023
11488,1,29/05/2023
11494,0,11/04/2023
11494,1,19/04/2023
11491,0,11/04/2023
11491,1,30/05/2023
11492,0,11/04/2023
11492,1,22/05/2023
11495,0,11/04/2023
11495,1,13/04/2023
11496,0,11/04/2023
11496,1,07/07/2023
11499,0,11/04/2023
11499,1,26/04/2023
11498,0,11/04/2023
11498,1,13/06/2023
11739,0,25/04/2023
11739,0,25/04/2023
11739,1,25/04/2023
11739,1,25/04/2023
11740,0,25/04/2023
11740,0,25/04/2023
11740,1,25/04/2023
11740,1,25/04/2023
11500,0,11/04/2023
11500,1,17/04/2023
11977,0,09/05/2023
11977,1,03/07/2023
11977,3,03/07/2023
11693,0,20/04/2023
11693,1,02/10/2023
11694,0,20/04/2023
11694,1,03/10/2023
12002,0,10/05/2023
12002,1,18/12/2023
12002,3,04/07/2023
11531,0,13/04/2023
11531,1,07/06/2023
11531,3,23/05/2023
11560,0,14/04/2023
11560,1,18/04/2023
11505,0,12/04/2023
11505,1,25/09/2023
11507,0,12/04/2023
11507,1,24/05/2023
11509,0,12/04/2023
11509,1,02/05/2023
11527,0,12/04/2023
11527,1,29/05/2023
11521,0,12/04/2023
11521,1,19/04/2023
11508,0,12/04/2023
11508,2,17/04/2023
11510,0,12/04/2023
11510,1,19/04/2023
11599,0,18/04/2023
11599,1,02/06/2023
11516,0,12/04/2023
11516,1,27/04/2023
11515,0,12/04/2023
11515,1,18/04/2023
11520,0,12/04/2023
11520,0,31/05/2023
11520,0,21/01/2025
11520,1,30/05/2023
11520,1,15/01/2025
11518,0,12/04/2023
11518,1,21/04/2023
11522,0,12/04/2023
11522,1,25/05/2023
11529,0,13/04/2023
11529,1,17/05/2023
11561,0,14/04/2023
11561,1,14/07/2023
11562,0,14/04/2023
11562,1,14/07/2023
11535,0,13/04/2023
11535,1,25/04/2023
11576,0,17/04/2023
11576,1,11/05/2023
11523,0,12/04/2023
11523,0,21/01/2025
11523,1,15/01/2025
11526,0,12/04/2023
11526,1,21/05/2023
11525,0,12/04/2023
11525,1,21/05/2023
11524,0,12/04/2023
11524,1,21/05/2023
11552,0,14/04/2023
11552,1,09/05/2023
11553,0,14/04/2023
11553,1,09/05/2023
11584,0,17/04/2023
11584,1,18/04/2023
11585,0,17/04/2023
11585,1,18/04/2023
11528,0,13/04/2023
11528,1,30/05/2023
11712,0,21/04/2023
11712,1,26/04/2023
11571,0,17/04/2023
11571,1,10/05/2023
11532,0,13/04/2023
11532,1,25/04/2023
11533,0,13/04/2023
11533,2,13/04/2023
11534,0,13/04/2023
11534,1,05/05/2023
11538,0,14/04/2023
11538,1,18/04/2023
11536,0,14/04/2023
11536,1,18/04/2023
11537,0,14/04/2023
11537,1,18/04/2023
11539,0,14/04/2023
11539,1,30/05/2023
11543,0,14/04/2023
11543,1,30/05/2023
11540,0,14/04/2023
11540,1,30/05/2023
11546,0,14/04/2023
11546,2,14/04/2023
11545,0,14/04/2023
11545,1,30/05/2023
11541,0,14/04/2023
11541,1,30/05/2023
11544,0,14/04/2023
11544,1,30/05/2023
11542,0,14/04/2023
11542,1,30/05/2023
11547,0,14/04/2023
11547,1,30/05/2023
11715,0,24/04/2023
11715,1,04/05/2023
11559,0,14/04/2023
11559,1,18/04/2023
11550,0,14/04/2023
11550,1,22/05/2023
11551,0,14/04/2023
11551,1,21/04/2023
12242,0,25/05/2023
12242,1,23/06/2023
11583,0,17/04/2023
11583,1,18/04/2023
11556,0,14/04/2023
11556,1,30/05/2023
11557,0,14/04/2023
11557,1,30/05/2023
11558,0,14/04/2023
11558,1,30/05/2023
11834,0,28/04/2023
11834,1,12/05/2023
11835,0,28/04/2023
11835,1,12/05/2023
11568,0,17/04/2023
11568,1,04/05/2023
11564,0,17/04/2023
11564,1,12/05/2023
11597,0,18/04/2023
11597,1,24/05/2023
11580,0,17/04/2023
11580,0,08/05/2023
11580,1,04/05/2023
11580,1,08/05/2023
11565,0,17/04/2023
11565,1,19/04/2023
11566,0,17/04/2023
11566,1,19/04/2023
11650,0,19/04/2023
11650,1,31/05/2023
11650,3,05/05/2023
11577,0,17/04/2023
11577,1,29/05/2023
11651,0,19/04/2023
11651,1,31/05/2023
11651,3,05/05/2023
11579,0,17/04/2023
11579,1,30/05/2023
11578,0,17/04/2023
11578,1,30/05/2023
11581,0,17/04/2023
11581,1,28/04/2023
11570,0,17/04/2023
11570,1,28/04/2023
11573,0,17/04/2023
11573,1,30/06/2023
11601,0,18/04/2023
11601,1,08/05/2023
11602,0,18/04/2023
11602,1,23/05/2023
11613,0,18/04/2023
11613,1,09/05/2023
11582,0,17/04/2023
11582,1,11/05/2023
11596,0,18/04/2023
11596,1,24/04/2023
11586,0,17/04/2023
11586,1,25/04/2023
11587,0,17/04/2023
11587,0,21/01/2025
11587,1,15/01/2025
11588,0,17/04/2023
11588,0,21/01/2025
11588,1,15/01/2025
11591,0,17/04/2023
11591,0,21/01/2025
11591,1,15/01/2025
11592,0,17/04/2023
11592,0,21/01/2025
11592,1,15/01/2025
11590,0,17/04/2023
11590,0,21/01/2025
11590,1,15/01/2025
11589,0,17/04/2023
11589,0,21/01/2025
11589,1,15/01/2025
11594,0,17/04/2023
11594,0,16/01/2025
11594,1,15/01/2025
11595,0,17/04/2023
11595,1,09/05/2023
11598,0,18/04/2023
11598,1,19/04/2023
11600,0,18/04/2023
11600,1,02/06/2023
11760,0,25/04/2023
11760,1,28/04/2023
11770,0,26/04/2023
11770,1,28/04/2023
11761,0,25/04/2023
11761,1,29/05/2023
11616,0,18/04/2023
11616,1,23/06/2023
11652,0,19/04/2023
11652,0,27/04/2023
11652,0,27/04/2023
11652,1,31/05/2023
11652,3,26/04/2023
11652,3,27/04/2023
11652,3,27/04/2023
11603,0,18/04/2023
11603,1,29/05/2023
11647,0,19/04/2023
11647,1,24/04/2023
11604,0,18/04/2023
11604,1,18/04/2023
11605,0,18/04/2023
11605,1,18/04/2023
11606,0,18/04/2023
11606,1,04/05/2023
11614,0,18/04/2023
11614,1,21/04/2023
11611,0,18/04/2023
11611,1,09/11/2023
12200,0,22/05/2023
12200,1,05/07/2023
11612,0,18/04/2023
11612,1,09/11/2023
11626,0,19/04/2023
11626,1,21/04/2023
11629,0,19/04/2023
11629,1,21/04/2023
11618,0,18/04/2023
11618,1,30/05/2023
11619,0,18/04/2023
11619,1,30/05/2023
11620,0,18/04/2023
11620,1,30/05/2023
11621,0,18/04/2023
11621,1,12/06/2023
11622,0,18/04/2023
11622,1,17/05/2023
11623,0,18/04/2023
11623,1,28/04/2023
11624,0,18/04/2023
11624,1,28/04/2023
11625,0,18/04/2023
11625,1,28/04/2023
11627,0,19/04/2023
11627,1,02/05/2023
12300,0,30/05/2023
12300,1,27/12/2023
12300,3,27/06/2023
11632,0,19/04/2023
11632,1,30/05/2023
11630,0,19/04/2023
11630,1,02/05/2023
11631,0,19/04/2023
11631,1,30/05/2023
11633,0,19/04/2023
11633,1,30/05/2023
11658,0,20/04/2023
11658,1,28/06/2023
11636,0,19/04/2023
11636,1,30/05/2023
11634,0,19/04/2023
11634,1,26/04/2023
11635,0,19/04/2023
11635,1,26/04/2023
11638,0,19/04/2023
11638,1,26/04/2023
11637,0,19/04/2023
11637,1,26/04/2023
11640,0,19/04/2023
11640,1,02/05/2023
11644,0,19/04/2023
11644,1,26/04/2023
11646,0,19/04/2023
11646,1,04/05/2023
11720,0,24/04/2023
11720,1,31/05/2023
11680,0,20/04/2023
11680,1,02/05/2023
11787,0,26/04/2023
11787,1,24/05/2023
11787,3,10/05/2023
11786,0,26/04/2023
11786,1,24/05/2023
11786,3,10/05/2023
11718,0,24/04/2023
11718,1,11/08/2023
11718,3,02/06/2023
11716,0,24/04/2023
11716,0,25/04/2023
11716,1,25/04/2023
11716,1,25/04/2023
11641,0,19/04/2023
11641,1,23/05/2023
11687,0,20/04/2023
11687,1,24/04/2023
11645,0,19/04/2023
11645,1,28/11/2023
11666,0,20/04/2023
11666,1,28/04/2023
11686,0,20/04/2023
11686,1,09/05/2023
11685,0,20/04/2023
11685,1,09/05/2023
11741,0,25/04/2023
11741,1,25/04/2023
11742,0,25/04/2023
11742,1,25/04/2023
11743,0,25/04/2023
11743,1,25/04/2023
11744,0,25/04/2023
11744,1,25/04/2023
11729,0,24/04/2023
11729,1,09/07/2023
11676,0,20/04/2023
11676,1,07/06/2023
11653,0,20/04/2023
11653,1,30/05/2023
11657,0,20/04/2023
11657,2,29/05/2023
11656,0,20/04/2023
11656,1,30/05/2023
11655,0,20/04/2023
11655,1,30/05/2023
11654,0,20/04/2023
11654,1,30/05/2023
11659,0,20/04/2023
11659,1,02/05/2023
11660,0,20/04/2023
11660,1,02/05/2023
11661,0,20/04/2023
11661,1,02/05/2023
11662,0,20/04/2023
11662,1,25/09/2023
11663,0,20/04/2023
11663,1,25/09/2023
11664,0,20/04/2023
11664,1,25/09/2023
11671,0,20/04/2023
11671,1,21/05/2023
11667,0,20/04/2023
11667,1,23/08/2023
11669,0,20/04/2023
11669,1,24/08/2023
11670,0,20/04/2023
11670,1,24/08/2023
11998,0,10/05/2023
11998,1,25/05/2023
11668,0,20/04/2023
11713,0,21/04/2023
11713,1,21/05/2023
11672,0,20/04/2023
11672,1,24/05/2023
11679,0,20/04/2023
11679,1,29/05/2023
11684,0,20/04/2023
11684,1,11/05/2023
11745,0,25/04/2023
11745,1,25/04/2023
11683,0,20/04/2023
11683,1,15/05/2023
11674,0,20/04/2023
11674,1,25/09/2023
11675,0,20/04/2023
11675,1,05/05/2023
11677,0,20/04/2023
11677,1,25/09/2023
11678,0,20/04/2023
11678,1,28/04/2023
11681,0,20/04/2023
11681,1,04/05/2023
11682,0,20/04/2023
11682,1,04/05/2023
11839,0,30/04/2023
11839,1,28/06/2023
11690,0,20/04/2023
11690,1,02/10/2023
11688,0,20/04/2023
11688,1,02/10/2023
11689,0,20/04/2023
11689,1,02/10/2023
11691,0,20/04/2023
11691,1,25/09/2023
11692,0,20/04/2023
11692,1,25/09/2023
11695,0,20/04/2023
11695,1,02/10/2023
11696,0,21/04/2023
11696,1,30/05/2023
11697,0,21/04/2023
11697,1,12/06/2023
11701,0,21/04/2023
11701,1,12/06/2023
11698,0,21/04/2023
11698,1,12/06/2023
11700,0,21/04/2023
11700,1,12/06/2023
11699,0,21/04/2023
11699,1,12/06/2023
11792,0,27/04/2023
11792,1,11/05/2023
11705,0,21/04/2023
11705,1,11/07/2023
11706,0,21/04/2023
11706,1,28/11/2023
11708,0,21/04/2023
11708,1,26/04/2023
11709,0,21/04/2023
11709,1,02/05/2023
11773,0,26/04/2023
11773,1,02/05/2023
11843,0,02/05/2023
11843,1,25/05/2023
11842,0,02/05/2023
11842,1,25/05/2023
12508,0,13/06/2023
12508,1,18/07/2023
12508,3,04/07/2023
11762,0,25/04/2023
11762,1,11/05/2023
11936,0,08/05/2023
11936,1,12/09/2023
11934,0,08/05/2023
11934,1,12/09/2023
11805,0,27/04/2023
11805,0,22/05/2023
11805,1,18/05/2023
11805,1,22/05/2023
11711,0,21/04/2023
11711,1,31/05/2023
11778,0,26/04/2023
11778,1,24/07/2023
11714,0,24/04/2023
11714,1,22/06/2023
11857,0,02/05/2023
11857,1,21/07/2023
11717,0,24/04/2023
11717,1,26/04/2023
12061,0,15/05/2023
12061,1,21/05/2023
11976,0,09/05/2023
11976,1,21/05/2023
11818,0,27/04/2023
11818,1,04/05/2023
11719,0,24/04/2023
11719,1,26/04/2023
11731,0,24/04/2023
11731,1,28/06/2023
11735,0,24/04/2023
11735,1,28/06/2023
11732,0,24/04/2023
11732,1,28/06/2023
11733,0,24/04/2023
11733,1,28/06/2023
11734,0,24/04/2023
11734,1,28/06/2023
11721,0,24/04/2023
11721,1,17/05/2023
11722,0,24/04/2023
11722,1,17/05/2023
11758,0,25/04/2023
11758,1,04/05/2023
11723,0,24/04/2023
11723,2,31/05/2023
11724,0,24/04/2023
11724,2,31/05/2023
11725,0,24/04/2023
11725,2,31/05/2023
11726,0,24/04/2023
11726,2,31/05/2023
11727,0,24/04/2023
11727,1,12/06/2023
11728,0,24/04/2023
11728,1,29/06/2023
11816,0,27/04/2023
11816,1,12/05/2023
11730,0,24/04/2023
11730,1,29/05/2023
11736,0,24/04/2023
11736,0,15/05/2023
11736,0,23/05/2023
11736,0,29/06/2023
11736,1,11/05/2023
11736,1,11/05/2023
11736,1,21/05/2023
11736,1,23/06/2023
11736,1,28/08/2023
11891,0,04/05/2023
11891,1,19/06/2023
11764,0,25/04/2023
11764,1,05/06/2023
11764,3,02/06/2023
11763,0,25/04/2023
11763,1,19/06/2023
11763,3,09/06/2023
11766,0,26/04/2023
11766,1,25/07/2023
11777,0,26/04/2023
11777,1,11/05/2023
11738,0,25/04/2023
11738,1,28/04/2023
11903,0,04/05/2023
11903,1,13/06/2023
11903,3,18/05/2023
11748,0,25/04/2023
11748,1,28/04/2023
12032,0,11/05/2023
12032,1,20/06/2023
11749,0,25/04/2023
11749,1,28/06/2023
11750,0,25/04/2023
11750,1,17/05/2023
11756,0,25/04/2023
11756,1,25/08/2023
11751,0,25/04/2023
11751,1,08/05/2023
11752,0,25/04/2023
11752,1,08/05/2023
11753,0,25/04/2023
11753,1,08/05/2023
11754,0,25/04/2023
11754,0,21/01/2025
11754,1,14/01/2025
11913,0,05/05/2023
11913,1,17/05/2023
11757,0,25/04/2023
11757,1,28/04/2023
11759,0,25/04/2023
11759,1,23/05/2023
11788,0,26/04/2023
11788,1,11/05/2023
11829,0,28/04/2023
11829,1,05/06/2023
11767,0,26/04/2023
11767,1,11/05/2023
11765,0,25/04/2023
11765,1,11/05/2023
11791,0,27/04/2023
11791,1,02/10/2023
11790,0,27/04/2023
11790,1,02/10/2023
11789,0,27/04/2023
11789,1,02/10/2023
11810,0,27/04/2023
11810,1,05/07/2023
12001,0,10/05/2023
12001,1,26/05/2023
12001,1,26/05/2023
11774,0,26/04/2023
11774,1,11/05/2023
11768,0,26/04/2023
11768,1,11/05/2023
12000,0,10/05/2023
12000,1,25/05/2023
11769,0,26/04/2023
11769,1,28/04/2023
11771,0,26/04/2023
11771,1,13/06/2023
11772,0,26/04/2023
11772,1,24/05/2023
11775,0,26/04/2023
11775,2,15/06/2023
11877,0,03/05/2023
11877,1,11/05/2023
11811,0,27/04/2023
11811,1,25/09/2023
11780,0,26/04/2023
11780,1,11/05/2023
11781,0,26/04/2023
11781,1,30/05/2023
11782,0,26/04/2023
11782,1,17/05/2023
11783,0,26/04/2023
11783,1,25/09/2023
11784,0,26/04/2023
11784,1,17/05/2023
11785,0,26/04/2023
11785,1,17/05/2023
11871,0,03/05/2023
11871,1,03/10/2023
11870,0,03/05/2023
11870,1,03/10/2023
11923,0,05/05/2023
11923,1,03/10/2023
11924,0,05/05/2023
11924,1,03/10/2023
11793,0,27/04/2023
11793,1,09/05/2023
11795,0,27/04/2023
11795,1,09/05/2023
11794,0,27/04/2023
11794,1,09/05/2023
11797,0,27/04/2023
11797,1,09/05/2023
11798,0,27/04/2023
11798,1,09/05/2023
11796,0,27/04/2023
11796,1,08/05/2023
12062,0,15/05/2023
12062,1,07/06/2023
11815,0,27/04/2023
11815,1,02/11/2023
11840,0,30/04/2023
